,Year,Away,Home,Champion
0,1969,celtics,lakers,Boston Celtics
1,1968,lakers,celtics,Boston Celtics
2,1967,warriors,76ers,Philadelphia 76ers
3,1966,lakers,celtics,Boston Celtics
4,1965,lakers,celtics,Boston Celtics
5,1964,warriors,celtics,Boston Celtics
6,1963,lakers,celtics,Boston Celtics
7,1962,lakers,celtics,Boston Celtics
8,1961,hawks,celtics,Boston Celtics
9,1960,hawks,celtics,Boston Celtics
10,1959,lakers,celtics,Boston Celtics
11,1958,hawks,celtics,St. Louis Hawks
12,1957,hawks,celtics,Boston Celtics
13,1956,pistons,warriors,Philadelphia Warriors
