,index,Year,Champion,Runner-Up,Finals MVP,Points Per Game,Rebounds Per Game,Assists Per Game,Name
0,1,2022,Golden State Warriors,Boston Celtics,S. Curry,31.2,6.0,5.0, Stephen Curry 
1,2,2021,Milwaukee Bucks,Phoenix Suns,G. Antetokounmpo,35.2,13.2,5.0, Giannis Antetokounmpo 
2,3,2020,Los Angeles Lakers,Miami Heat,L. James,29.8,11.8,8.5, LeBron James 
3,4,2019,Toronto Raptors,Golden State Warriors,K. Leonard,28.5,9.8,4.2, Kawhi Leonard 
4,5,2018,Golden State Warriors,Cleveland Cavaliers,K. Durant,28.8,10.8,7.5, Kevin Durant 
5,6,2017,Golden State Warriors,Cleveland Cavaliers,K. Durant,35.2,8.2,5.4, Kevin Durant 
6,7,2016,Cleveland Cavaliers,Golden State Warriors,L. James,29.7,11.3,8.9, LeBron James 
7,8,2015,Golden State Warriors,Cleveland Cavaliers,A. Iguodala,16.3,5.8,4.0, Andre Iguodala 
8,9,2014,San Antonio Spurs,Miami Heat,K. Leonard,17.8,6.4,2.0, Kawhi Leonard 
9,10,2013,Miami Heat,San Antonio Spurs,L. James,25.3,10.9,7.0, LeBron James 
10,11,2012,Miami Heat,Oklahoma City Thunder,L. James,28.6,10.2,7.4, LeBron James 
11,12,2011,Dallas Mavericks,Miami Heat,D. Nowitzki,26.0,9.7,2.0, Dirk Nowitzki 
12,13,2010,Los Angeles Lakers,Boston Celtics,K. Bryant,28.6,8.0,3.9, Kobe Bryant 
13,14,2009,Los Angeles Lakers,Orlando Magic,K. Bryant,32.4,5.6,7.4, Kobe Bryant 
14,15,2008,Boston Celtics,Los Angeles Lakers,P. Pierce,21.8,4.5,6.3, Paul Pierce 
15,16,2007,San Antonio Spurs,Cleveland Cavaliers,T. Parker,24.5,5.0,3.3, Tony Parker 
16,17,2006,Miami Heat,Dallas Mavericks,D. Wade,34.7,7.8,3.8, Dwyane Wade 
17,18,2005,San Antonio Spurs,Detroit Pistons,T. Duncan,20.6,14.1,2.1, Tim Duncan 
18,19,2004,Detroit Pistons,Los Angeles Lakers,C. Billups,21.0,3.2,5.2, Chauncey Billups 
19,20,2003,San Antonio Spurs,New Jersey Nets,T. Duncan,24.2,17.0,5.3, Tim Duncan 
20,21,2002,Los Angeles Lakers,New Jersey Nets,S. O'Neal,36.3,12.3,3.8, Shaquille O'Neal 
21,22,2001,Los Angeles Lakers,Philadelphia 76ers,S. O'Neal,33.0,15.8,4.8, Shaquille O'Neal 
22,23,2000,Los Angeles Lakers,Indiana Pacers,S. O'Neal,38.0,16.7,2.3, Shaquille O'Neal 
23,24,1999,San Antonio Spurs,New York Knicks,T. Duncan,27.4,14.0,2.4, Tim Duncan 
24,25,1998,Chicago Bulls,Utah Jazz,M. Jordan,33.5,4.0,2.3, Michael Jordan 
